sequence,utc_time,elapsed_seconds,delta_seconds,port,type,channel_1_based,note,note_name,velocity,control,value,program_1_based,pitch,song,pos,sysex_hex,raw_bytes_hex,message
1,2026-09-13T00:28:07.853+00:00,0.006416,0.006416,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2,2026-09-13T00:28:08.001+00:00,0.154766,0.148349,Chordcat 0,control_change,1,,,,11,120,,,,,,B0 0B 78,control_change channel=0 control=11 value=120 time=0
3,2026-09-13T00:28:08.015+00:00,0.168994,0.014228,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
4,2026-09-13T00:28:08.030+00:00,0.183382,0.014389,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
5,2026-09-13T00:28:08.044+00:00,0.198169,0.014786,Chordcat 0,control_change,1,,,,11,96,,,,,,B0 0B 60,control_change channel=0 control=11 value=96 time=0
6,2026-09-13T00:28:08.059+00:00,0.212938,0.014769,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
7,2026-09-13T00:28:08.073+00:00,0.227067,0.014129,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
8,2026-09-13T00:28:08.090+00:00,0.2433,0.016233,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
9,2026-09-13T00:28:08.103+00:00,0.256544,0.013244,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
10,2026-09-13T00:28:08.117+00:00,0.271074,0.01453,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
11,2026-09-13T00:28:08.133+00:00,0.28664,0.015567,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
12,2026-09-13T00:28:08.148+00:00,0.302147,0.015506,Chordcat 0,control_change,1,,,,11,65,,,,,,B0 0B 41,control_change channel=0 control=11 value=65 time=0
13,2026-09-13T00:28:08.162+00:00,0.315571,0.013424,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
14,2026-09-13T00:28:08.176+00:00,0.330183,0.014612,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
15,2026-09-13T00:28:08.206+00:00,0.359725,0.029542,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
16,2026-09-13T00:28:08.354+00:00,0.507703,0.147979,Chordcat 0,control_change,1,,,,11,120,,,,,,B0 0B 78,control_change channel=0 control=11 value=120 time=0
17,2026-09-13T00:28:08.368+00:00,0.521184,0.01348,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
18,2026-09-13T00:28:08.383+00:00,0.536796,0.015612,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
19,2026-09-13T00:28:08.398+00:00,0.551601,0.014804,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
20,2026-09-13T00:28:08.413+00:00,0.566949,0.015349,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
21,2026-09-13T00:28:08.427+00:00,0.580927,0.013978,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
22,2026-09-13T00:28:08.442+00:00,0.595989,0.015062,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
23,2026-09-13T00:28:08.457+00:00,0.610496,0.014507,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
24,2026-09-13T00:28:08.470+00:00,0.624096,0.013599,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
25,2026-09-13T00:28:08.486+00:00,0.639345,0.015249,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
26,2026-09-13T00:28:08.501+00:00,0.654706,0.015361,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
27,2026-09-13T00:28:08.515+00:00,0.668926,0.014221,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
28,2026-09-13T00:28:08.530+00:00,0.683832,0.014906,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
29,2026-09-13T00:28:08.560+00:00,0.714034,0.030201,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
30,2026-09-13T00:28:08.707+00:00,0.860507,0.146474,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
31,2026-09-13T00:28:08.721+00:00,0.87449,0.013983,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
32,2026-09-13T00:28:08.736+00:00,0.889301,0.014811,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
33,2026-09-13T00:28:08.751+00:00,0.904483,0.015182,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
34,2026-09-13T00:28:08.765+00:00,0.918322,0.013839,Chordcat 0,control_change,1,,,,11,91,,,,,,B0 0B 5B,control_change channel=0 control=11 value=91 time=0
35,2026-09-13T00:28:08.780+00:00,0.933346,0.015024,Chordcat 0,control_change,1,,,,11,85,,,,,,B0 0B 55,control_change channel=0 control=11 value=85 time=0
36,2026-09-13T00:28:08.794+00:00,0.948053,0.014708,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
37,2026-09-13T00:28:08.810+00:00,0.963778,0.015725,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
38,2026-09-13T00:28:08.824+00:00,0.977688,0.013909,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
39,2026-09-13T00:28:08.839+00:00,0.992277,0.014589,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
40,2026-09-13T00:28:08.853+00:00,1.007001,0.014724,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
41,2026-09-13T00:28:08.868+00:00,1.021661,0.014661,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
42,2026-09-13T00:28:08.883+00:00,1.03679,0.015128,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
43,2026-09-13T00:28:08.913+00:00,1.067063,0.030273,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
44,2026-09-13T00:28:09.060+00:00,1.213697,0.146634,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
45,2026-09-13T00:28:09.073+00:00,1.226987,0.01329,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
46,2026-09-13T00:28:09.088+00:00,1.24192,0.014933,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
47,2026-09-13T00:28:09.103+00:00,1.257042,0.015121,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
48,2026-09-13T00:28:09.118+00:00,1.271569,0.014527,Chordcat 0,control_change,1,,,,11,91,,,,,,B0 0B 5B,control_change channel=0 control=11 value=91 time=0
49,2026-09-13T00:28:09.133+00:00,1.286876,0.015307,Chordcat 0,control_change,1,,,,11,85,,,,,,B0 0B 55,control_change channel=0 control=11 value=85 time=0
50,2026-09-13T00:28:09.148+00:00,1.301472,0.014596,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
51,2026-09-13T00:28:09.163+00:00,1.316866,0.015394,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
52,2026-09-13T00:28:09.178+00:00,1.331603,0.014737,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
53,2026-09-13T00:28:09.192+00:00,1.345431,0.013828,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
54,2026-09-13T00:28:09.207+00:00,1.360473,0.015042,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
55,2026-09-13T00:28:09.222+00:00,1.375165,0.014692,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
56,2026-09-13T00:28:09.236+00:00,1.389803,0.014639,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
57,2026-09-13T00:28:09.266+00:00,1.419962,0.030159,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
58,2026-09-13T00:28:09.413+00:00,1.567025,0.147063,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
59,2026-09-13T00:28:09.428+00:00,1.581241,0.014216,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
60,2026-09-13T00:28:09.442+00:00,1.595741,0.0145,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
61,2026-09-13T00:28:09.457+00:00,1.610441,0.0147,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
62,2026-09-13T00:28:09.471+00:00,1.625206,0.014764,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
63,2026-09-13T00:28:09.486+00:00,1.639622,0.014417,Chordcat 0,control_change,1,,,,11,85,,,,,,B0 0B 55,control_change channel=0 control=11 value=85 time=0
64,2026-09-13T00:28:09.501+00:00,1.655035,0.015413,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
65,2026-09-13T00:28:09.515+00:00,1.668904,0.013869,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
66,2026-09-13T00:28:09.529+00:00,1.683103,0.014199,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
67,2026-09-13T00:28:09.544+00:00,1.698038,0.014935,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
68,2026-09-13T00:28:09.560+00:00,1.713213,0.015175,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
69,2026-09-13T00:28:09.575+00:00,1.728304,0.015091,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
70,2026-09-13T00:28:09.588+00:00,1.742029,0.013725,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
71,2026-09-13T00:28:09.619+00:00,1.773138,0.031109,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
72,2026-09-13T00:28:09.767+00:00,1.920233,0.147095,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
73,2026-09-13T00:28:09.780+00:00,1.933188,0.012955,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
74,2026-09-13T00:28:09.794+00:00,1.947963,0.014775,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
75,2026-09-13T00:28:09.810+00:00,1.963606,0.015642,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
76,2026-09-13T00:28:09.824+00:00,1.977999,0.014394,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
77,2026-09-13T00:28:09.839+00:00,1.992843,0.014843,Chordcat 0,control_change,1,,,,11,85,,,,,,B0 0B 55,control_change channel=0 control=11 value=85 time=0
78,2026-09-13T00:28:09.853+00:00,2.007073,0.014231,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
79,2026-09-13T00:28:09.869+00:00,2.022861,0.015788,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
80,2026-09-13T00:28:09.883+00:00,2.036589,0.013728,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
81,2026-09-13T00:28:09.898+00:00,2.051423,0.014834,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
82,2026-09-13T00:28:09.913+00:00,2.066856,0.015433,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
83,2026-09-13T00:28:09.928+00:00,2.081856,0.014999,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
84,2026-09-13T00:28:09.942+00:00,2.095497,0.013642,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
85,2026-09-13T00:28:09.972+00:00,2.125368,0.029871,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
86,2026-09-13T00:28:10.119+00:00,2.272831,0.147463,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
87,2026-09-13T00:28:10.134+00:00,2.287899,0.015068,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
88,2026-09-13T00:28:10.147+00:00,2.30122,0.013321,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
89,2026-09-13T00:28:10.163+00:00,2.316676,0.015457,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
90,2026-09-13T00:28:10.178+00:00,2.331517,0.014841,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
91,2026-09-13T00:28:10.192+00:00,2.345629,0.014112,Chordcat 0,control_change,1,,,,11,85,,,,,,B0 0B 55,control_change channel=0 control=11 value=85 time=0
92,2026-09-13T00:28:10.206+00:00,2.35996,0.014331,Chordcat 0,control_change,1,,,,11,80,,,,,,B0 0B 50,control_change channel=0 control=11 value=80 time=0
93,2026-09-13T00:28:10.221+00:00,2.374987,0.015028,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
94,2026-09-13T00:28:10.236+00:00,2.38988,0.014893,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
95,2026-09-13T00:28:10.250+00:00,2.404151,0.014271,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
96,2026-09-13T00:28:10.266+00:00,2.419517,0.015366,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
97,2026-09-13T00:28:10.281+00:00,2.435111,0.015594,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
98,2026-09-13T00:28:10.295+00:00,2.448246,0.013135,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
99,2026-09-13T00:28:10.325+00:00,2.478789,0.030544,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
100,2026-09-13T00:28:10.471+00:00,2.625163,0.146373,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
101,2026-09-13T00:28:10.487+00:00,2.640144,0.014981,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
102,2026-09-13T00:28:10.501+00:00,2.654313,0.014169,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
103,2026-09-13T00:28:10.516+00:00,2.669856,0.015544,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
104,2026-09-13T00:28:10.531+00:00,2.684212,0.014356,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
105,2026-09-13T00:28:10.545+00:00,2.698767,0.014554,Chordcat 0,control_change,1,,,,11,85,,,,,,B0 0B 55,control_change channel=0 control=11 value=85 time=0
106,2026-09-13T00:28:10.559+00:00,2.712883,0.014116,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
107,2026-09-13T00:28:10.576+00:00,2.729497,0.016614,Chordcat 0,control_change,1,,,,11,74,,,,,,B0 0B 4A,control_change channel=0 control=11 value=74 time=0
108,2026-09-13T00:28:10.589+00:00,2.742927,0.01343,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
109,2026-09-13T00:28:10.604+00:00,2.757658,0.014731,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
110,2026-09-13T00:28:10.620+00:00,2.773255,0.015596,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
111,2026-09-13T00:28:10.633+00:00,2.787063,0.013809,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
112,2026-09-13T00:28:10.648+00:00,2.801905,0.014842,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
113,2026-09-13T00:28:10.677+00:00,2.83093,0.029025,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
114,2026-09-13T00:28:10.825+00:00,2.978677,0.147747,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
115,2026-09-13T00:28:10.840+00:00,2.993396,0.014719,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
116,2026-09-13T00:28:10.854+00:00,3.007594,0.014198,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
117,2026-09-13T00:28:10.868+00:00,3.021996,0.014402,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
118,2026-09-13T00:28:10.884+00:00,3.037425,0.015429,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
119,2026-09-13T00:28:10.897+00:00,3.051082,0.013657,Chordcat 0,control_change,1,,,,11,85,,,,,,B0 0B 55,control_change channel=0 control=11 value=85 time=0
120,2026-09-13T00:28:10.913+00:00,3.066388,0.015306,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
121,2026-09-13T00:28:10.927+00:00,3.081045,0.014657,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
122,2026-09-13T00:28:10.942+00:00,3.095986,0.014941,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
123,2026-09-13T00:28:10.957+00:00,3.110728,0.014742,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
124,2026-09-13T00:28:10.972+00:00,3.125746,0.015019,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
125,2026-09-13T00:28:10.986+00:00,3.139899,0.014152,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
126,2026-09-13T00:28:11.001+00:00,3.154327,0.014428,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
127,2026-09-13T00:28:11.031+00:00,3.184539,0.030212,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
128,2026-09-13T00:28:11.177+00:00,3.331183,0.146644,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
129,2026-09-13T00:28:11.193+00:00,3.346712,0.015529,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
130,2026-09-13T00:28:11.207+00:00,3.360875,0.014163,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
131,2026-09-13T00:28:11.221+00:00,3.374984,0.014109,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
132,2026-09-13T00:28:11.237+00:00,3.390635,0.015651,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
133,2026-09-13T00:28:11.252+00:00,3.405624,0.014989,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
134,2026-09-13T00:28:11.266+00:00,3.419224,0.0136,Chordcat 0,control_change,1,,,,11,80,,,,,,B0 0B 50,control_change channel=0 control=11 value=80 time=0
135,2026-09-13T00:28:11.281+00:00,3.434568,0.015344,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
136,2026-09-13T00:28:11.296+00:00,3.450088,0.015519,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
137,2026-09-13T00:28:11.310+00:00,3.463728,0.01364,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
138,2026-09-13T00:28:11.324+00:00,3.478151,0.014423,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
139,2026-09-13T00:28:11.339+00:00,3.492879,0.014728,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
140,2026-09-13T00:28:11.354+00:00,3.507829,0.014949,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
141,2026-09-13T00:28:11.384+00:00,3.537459,0.02963,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
142,2026-09-13T00:28:11.531+00:00,3.684805,0.147346,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
143,2026-09-13T00:28:11.545+00:00,3.698941,0.014135,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
144,2026-09-13T00:28:11.560+00:00,3.71392,0.01498,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
145,2026-09-13T00:28:11.575+00:00,3.728455,0.014534,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
146,2026-09-13T00:28:11.589+00:00,3.742909,0.014455,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
147,2026-09-13T00:28:11.604+00:00,3.757801,0.014892,Chordcat 0,control_change,1,,,,11,85,,,,,,B0 0B 55,control_change channel=0 control=11 value=85 time=0
148,2026-09-13T00:28:11.619+00:00,3.772155,0.014354,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
149,2026-09-13T00:28:11.634+00:00,3.787658,0.015503,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
150,2026-09-13T00:28:11.650+00:00,3.803161,0.015503,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
151,2026-09-13T00:28:11.663+00:00,3.816796,0.013635,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
152,2026-09-13T00:28:11.678+00:00,3.831378,0.014582,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
153,2026-09-13T00:28:11.693+00:00,3.846387,0.015009,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
154,2026-09-13T00:28:11.707+00:00,3.860643,0.014256,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
155,2026-09-13T00:28:11.737+00:00,3.890533,0.02989,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
156,2026-09-13T00:28:11.884+00:00,4.037591,0.147058,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
157,2026-09-13T00:28:11.899+00:00,4.052874,0.015283,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
158,2026-09-13T00:28:11.912+00:00,4.06584,0.012966,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
159,2026-09-13T00:28:11.928+00:00,4.081743,0.015903,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
160,2026-09-13T00:28:11.942+00:00,4.09592,0.014178,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
161,2026-09-13T00:28:11.957+00:00,4.110401,0.01448,Chordcat 0,control_change,1,,,,11,85,,,,,,B0 0B 55,control_change channel=0 control=11 value=85 time=0
162,2026-09-13T00:28:11.972+00:00,4.12556,0.015159,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
163,2026-09-13T00:28:11.986+00:00,4.139878,0.014318,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
