sequence,utc_time,elapsed_seconds,delta_seconds,port,type,channel_1_based,note,note_name,velocity,control,value,program_1_based,pitch,song,pos,sysex_hex,raw_bytes_hex,message
477,2026-09-13T00:28:19.856+00:00,12.009928,0.030275,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
478,2026-09-13T00:28:20.004+00:00,12.157537,0.147609,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
479,2026-09-13T00:28:20.018+00:00,12.171505,0.013967,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
480,2026-09-13T00:28:20.034+00:00,12.18713,0.015625,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
481,2026-09-13T00:28:20.048+00:00,12.201572,0.014442,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
482,2026-09-13T00:28:20.063+00:00,12.216611,0.015039,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
483,2026-09-13T00:28:20.077+00:00,12.230359,0.013748,Chordcat 0,control_change,1,,,,11,85,,,,,,B0 0B 55,control_change channel=0 control=11 value=85 time=0
484,2026-09-13T00:28:20.091+00:00,12.244715,0.014356,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
485,2026-09-13T00:28:20.107+00:00,12.260232,0.015517,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
486,2026-09-13T00:28:20.121+00:00,12.274176,0.013944,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
487,2026-09-13T00:28:20.136+00:00,12.289204,0.015028,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
488,2026-09-13T00:28:20.151+00:00,12.304317,0.015113,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
489,2026-09-13T00:28:20.165+00:00,12.319035,0.014719,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
490,2026-09-13T00:28:20.179+00:00,12.332927,0.013892,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
491,2026-09-13T00:28:20.210+00:00,12.363132,0.030205,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
492,2026-09-13T00:28:20.356+00:00,12.509803,0.146672,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
493,2026-09-13T00:28:20.371+00:00,12.524189,0.014386,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
494,2026-09-13T00:28:20.385+00:00,12.538985,0.014796,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
495,2026-09-13T00:28:20.400+00:00,12.553739,0.014755,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
496,2026-09-13T00:28:20.415+00:00,12.568941,0.015202,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
497,2026-09-13T00:28:20.431+00:00,12.584652,0.01571,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
498,2026-09-13T00:28:20.445+00:00,12.598633,0.013981,Chordcat 0,control_change,1,,,,11,80,,,,,,B0 0B 50,control_change channel=0 control=11 value=80 time=0
499,2026-09-13T00:28:20.460+00:00,12.613827,0.015194,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
500,2026-09-13T00:28:20.475+00:00,12.628216,0.014389,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
501,2026-09-13T00:28:20.489+00:00,12.643047,0.014831,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
502,2026-09-13T00:28:20.504+00:00,12.657646,0.014598,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
503,2026-09-13T00:28:20.518+00:00,12.671763,0.014117,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
504,2026-09-13T00:28:20.533+00:00,12.686394,0.014631,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
505,2026-09-13T00:28:20.563+00:00,12.716152,0.029758,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
506,2026-09-13T00:28:20.709+00:00,12.863065,0.146913,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
507,2026-09-13T00:28:20.724+00:00,12.87767,0.014605,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
508,2026-09-13T00:28:20.739+00:00,12.893139,0.015469,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
509,2026-09-13T00:28:20.754+00:00,12.907292,0.014153,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
510,2026-09-13T00:28:20.769+00:00,12.9229,0.015608,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
