sequence,utc_time,elapsed_seconds,delta_seconds,port,type,channel_1_based,note,note_name,velocity,control,value,program_1_based,pitch,song,pos,sysex_hex,raw_bytes_hex,message
64,2026-09-12T23:04:41.993+00:00,15.584505,0.000321,Chordcat 0,note_on,2,62,D4,0,,,,,,,,91 3E 00,note_on channel=1 note=62 velocity=0 time=0
65,2026-09-12T23:04:41.994+00:00,15.58479,0.000285,Chordcat 0,note_on,2,64,E4,0,,,,,,,,91 40 00,note_on channel=1 note=64 velocity=0 time=0
66,2026-09-12T23:04:41.994+00:00,15.585027,0.000237,Chordcat 0,note_on,2,69,A4,0,,,,,,,,91 45 00,note_on channel=1 note=69 velocity=0 time=0
67,2026-09-12T23:04:42.024+00:00,15.614397,0.02937,Chordcat 0,note_on,2,47,B2,100,,,,,,,,91 2F 64,note_on channel=1 note=47 velocity=100 time=0
68,2026-09-12T23:04:42.024+00:00,15.614764,0.000367,Chordcat 0,note_on,2,57,A3,100,,,,,,,,91 39 64,note_on channel=1 note=57 velocity=100 time=0
69,2026-09-12T23:04:42.024+00:00,15.614992,0.000228,Chordcat 0,note_on,2,62,D4,100,,,,,,,,91 3E 64,note_on channel=1 note=62 velocity=100 time=0
70,2026-09-12T23:04:42.024+00:00,15.615325,0.000333,Chordcat 0,note_on,2,64,E4,100,,,,,,,,91 40 64,note_on channel=1 note=64 velocity=100 time=0
71,2026-09-12T23:04:42.024+00:00,15.615561,0.000237,Chordcat 0,note_on,2,69,A4,100,,,,,,,,91 45 64,note_on channel=1 note=69 velocity=100 time=0
72,2026-09-12T23:04:42.497+00:00,16.087242,0.471681,Chordcat 0,note_on,2,47,B2,0,,,,,,,,91 2F 00,note_on channel=1 note=47 velocity=0 time=0
73,2026-09-12T23:04:42.497+00:00,16.087913,0.000671,Chordcat 0,note_on,2,57,A3,0,,,,,,,,91 39 00,note_on channel=1 note=57 velocity=0 time=0
74,2026-09-12T23:04:42.497+00:00,16.088387,0.000474,Chordcat 0,note_on,2,62,D4,0,,,,,,,,91 3E 00,note_on channel=1 note=62 velocity=0 time=0
75,2026-09-12T23:04:42.497+00:00,16.088728,0.00034,Chordcat 0,note_on,2,64,E4,0,,,,,,,,91 40 00,note_on channel=1 note=64 velocity=0 time=0
76,2026-09-12T23:04:42.497+00:00,16.089142,0.000414,Chordcat 0,note_on,2,69,A4,0,,,,,,,,91 45 00,note_on channel=1 note=69 velocity=0 time=0
